aerolinea|numero_vuelos|puntualidad|minutos_atraso|vuelos_regulares|fecha|aeropuerto|5
Grupo LATAM|357|0.9079999999999999|33.0|1.0|01-01-2020|Arica|
Sky Airline|234|0.8759999999999999|49.0|0.992|01-01-2020|Arica|
JetSmart Spa|196|0.8059999999999999|67.0|1.0|01-01-2020|Arica|
Sky Airline|20|0.75|23.0|0.9520000000000001|01-07-2020|Arica|
Grupo LATAM|44|0.8640000000000001|61.0|0.978|01-07-2020|Arica|
JetSmart Spa|53|0.943|19.0|0.981|01-07-2020|Arica|
Sky Airline|165|0.77|29.0|0.988|01-04-2022|Arica|
Grupo LATAM|195|0.831|44.0|1.0|01-04-2022|Arica|
JetSmart Spa|89|0.708|42.0|0.978|01-04-2022|Arica|
Sky Airline|159|0.799|36.0|1.0|01-07-2022|Arica|
Grupo LATAM|213|0.831|45.0|0.995|01-07-2022|Arica|
JetSmart Spa|111|0.649|39.0|0.991|01-07-2022|Arica|
Grupo LATAM|249|0.867|44.0|0.992|01-10-2022|Arica|
Sky Airline|170|0.8240000000000001|64.0|0.988|01-10-2022|Arica|
JetSmart Spa|98|0.643|47.0|0.99|01-10-2022|Arica|
Grupo LATAM|297|0.875|69.0|1.0|01-01-2023|Arica|
Sky Airline|190|0.847|45.0|0.995|01-01-2023|Arica|
JetSmart Spa|141|0.723|65.0|0.986|01-01-2023|Arica|
Grupo LATAM|789|0.883|36.0|0.9990000000000001|01-01-2020|Iquique|
Sky Airline|355|0.862|45.0|1.0|01-01-2020|Iquique|
JetSmart Spa|242|0.843|83.0|0.996|01-01-2020|Iquique|
Amaszonas|68|0.662|41.0|0.986|01-01-2020|Iquique|
Sky Airline|69|0.812|84.0|0.885|01-07-2020|Iquique|
Grupo LATAM|366|0.847|55.0|0.9840000000000001|01-07-2020|Iquique|
JetSmart Spa|79|0.848|49.0|0.963|01-07-2020|Iquique|
Amaszonas|6|0.5|34.0|1.0|01-07-2020|Iquique|
Sky Airline|290|0.79|39.0|1.0|01-04-2022|Iquique|
Grupo LATAM|841|0.7709999999999999|44.0|0.995|01-04-2022|Iquique|
JetSmart Spa|192|0.75|50.0|0.985|01-04-2022|Iquique|
Amaszonas|26|0.654|51.0|1.0|01-04-2022|Iquique|
Sky Airline|342|0.787|32.0|0.9940000000000001|01-07-2022|Iquique|
Grupo LATAM|886|0.7390000000000001|35.0|0.996|01-07-2022|Iquique|
JetSmart Spa|190|0.7|41.0|0.9840000000000001|01-07-2022|Iquique|
Amaszonas|25|0.84|36.0|1.0|01-07-2022|Iquique|
Amaszonas|25|0.84|49.0|0.9620000000000001|01-10-2022|Iquique|
Grupo LATAM|842|0.8029999999999999|40.0|0.9940000000000001|01-10-2022|Iquique|
Sky Airline|265|0.758|31.0|1.0|01-10-2022|Iquique|
JetSmart Spa|264|0.7120000000000001|54.0|0.985|01-10-2022|Iquique|
Sky Airline|337|0.875|41.0|0.991|01-01-2023|Iquique|
Grupo LATAM|833|0.804|41.0|0.998|01-01-2023|Iquique|
Amaszonas|29|0.759|33.0|1.0|01-01-2023|Iquique|
JetSmart Spa|360|0.753|96.0|0.9840000000000001|01-01-2023|Iquique|
Grupo LATAM|819|0.868|46.0|0.998|01-01-2020|Antofagasta|
Sky Airline|398|0.8540000000000001|45.0|1.0|01-01-2020|Antofagasta|
JetSmart Spa|318|0.752|75.0|1.0|01-01-2020|Antofagasta|
Sky Airline|299|0.706|59.0|0.977|01-07-2020|Antofagasta|
Grupo LATAM|285|0.7859999999999999|60.0|0.993|01-07-2020|Antofagasta|
JetSmart Spa|432|0.917|86.0|0.9840000000000001|01-07-2020|Antofagasta|
Sky Airline|374|0.778|35.0|1.0|01-04-2022|Antofagasta|
Grupo LATAM|859|0.895|46.0|0.991|01-04-2022|Antofagasta|
JetSmart Spa|402|0.726|53.0|0.973|01-04-2022|Antofagasta|
Aerolineas Argentinas|2|0.0|75.0|1.0|01-04-2022|Antofagasta|
Star Up S.A.|2|1.0|0.0|1.0|01-04-2022|Antofagasta|
Sky Airline|323|0.768|34.0|1.0|01-07-2022|Antofagasta|
Grupo LATAM|824|0.8759999999999999|39.0|0.987|01-07-2022|Antofagasta|
JetSmart Spa|364|0.7140000000000001|35.0|0.9890000000000001|01-07-2022|Antofagasta|
Grupo LATAM|891|0.8240000000000001|41.0|0.993|01-10-2022|Antofagasta|
Sky Airline|343|0.81|53.0|0.997|01-10-2022|Antofagasta|
JetSmart Spa|395|0.706|48.0|0.985|01-10-2022|Antofagasta|
Grupo LATAM|890|0.843|39.0|0.997|01-01-2023|Antofagasta|
Sky Airline|388|0.8140000000000001|36.0|0.997|01-01-2023|Antofagasta|
JetSmart Spa|401|0.691|79.0|0.993|01-01-2023|Antofagasta|
Grupo LATAM|783|0.851|45.0|0.986|01-01-2020|Calama|
Sky Airline|354|0.816|44.0|0.9940000000000001|01-01-2020|Calama|
JetSmart Spa|285|0.74|74.0|0.997|01-01-2020|Calama|
Sky Airline|168|0.685|45.0|0.9279999999999999|01-04-2020|Calama|
Grupo LATAM|179|0.7490000000000001|59.0|0.9840000000000001|01-04-2020|Calama|
JetSmart Spa|234|0.816|40.0|0.9440000000000001|01-04-2020|Calama|
Sky Airline|135|0.674|50.0|0.912|01-07-2020|Calama|
Grupo LATAM|243|0.695|104.0|0.968|01-07-2020|Calama|
JetSmart Spa|268|0.8809999999999999|53.0|0.971|01-07-2020|Calama|
Sky Airline|304|0.8320000000000001|43.0|0.997|01-04-2022|Calama|
Grupo LATAM|757|0.8590000000000001|47.0|0.995|01-04-2022|Calama|
JetSmart Spa|371|0.728|53.0|0.992|01-04-2022|Calama|
Sky Airline|302|0.8079999999999999|39.0|1.0|01-07-2022|Calama|
Grupo LATAM|777|0.8420000000000001|40.0|0.987|01-07-2022|Calama|
JetSmart Spa|348|0.7070000000000001|44.0|1.0|01-07-2022|Calama|
Sky Airline|355|0.8759999999999999|34.0|0.997|01-10-2022|Calama|
Grupo LATAM|854|0.79|39.0|0.986|01-10-2022|Calama|
JetSmart Spa|349|0.7390000000000001|72.0|0.9890000000000001|01-10-2022|Calama|
Sky Airline|371|0.889|31.0|0.997|01-01-2023|Calama|
Grupo LATAM|844|0.831|39.0|0.996|01-01-2023|Calama|
JetSmart Spa|407|0.74|58.0|0.995|01-01-2023|Calama|
Sky Airline|152|0.934|35.0|1.0|01-01-2020|Copiapo|
Grupo LATAM|221|0.8640000000000001|54.0|1.0|01-01-2020|Copiapo|
JetSmart Spa|59|0.695|64.0|1.0|01-01-2020|Copiapo|
Sky Airline|9|1.0|0.0|1.0|01-07-2020|Copiapo|
Grupo LATAM|24|0.875|26.0|1.0|01-07-2020|Copiapo|
JetSmart Spa|5|1.0|0.0|1.0|01-07-2020|Copiapo|
Sky Airline|200|0.895|66.0|0.995|01-04-2022|Copiapo|
Grupo LATAM|289|0.8859999999999999|77.0|0.99|01-04-2022|Copiapo|
JetSmart Spa|54|0.815|65.0|0.982|01-04-2022|Copiapo|
Sky Airline|200|0.885|40.0|0.995|01-07-2022|Copiapo|
Grupo LATAM|285|0.888|53.0|0.997|01-07-2022|Copiapo|
JetSmart Spa|35|0.7140000000000001|76.0|0.972|01-07-2022|Copiapo|
Sky Airline|216|0.917|52.0|0.991|01-10-2022|Copiapo|
Grupo LATAM|299|0.9059999999999999|50.0|0.993|01-10-2022|Copiapo|
JetSmart Spa|7|0.7140000000000001|67.0|1.0|01-10-2022|Copiapo|
Grupo LATAM|280|0.943|46.0|0.993|01-01-2023|Copiapo|
Sky Airline|244|0.9179999999999999|54.0|0.992|01-01-2023|Copiapo|
Sky Airline|340|0.9|68.0|1.0|01-01-2020|LaSerena|
Grupo LATAM|360|0.892|47.0|1.0|01-01-2020|LaSerena|
JetSmart Spa|338|0.7809999999999999|106.0|1.0|01-01-2020|LaSerena|
Sky Airline|240|0.813|74.0|0.992|01-07-2020|LaSerena|
Grupo LATAM|36|0.722|74.0|0.9470000000000001|01-07-2020|LaSerena|
JetSmart Spa|187|0.8240000000000001|79.0|0.9890000000000001|01-07-2020|LaSerena|
Sky Airline|387|0.853|48.0|0.997|01-04-2022|LaSerena|
Grupo LATAM|360|0.9109999999999999|72.0|0.9940000000000001|01-04-2022|LaSerena|
JetSmart Spa|420|0.774|44.0|0.972|01-04-2022|LaSerena|
Sky Airline|361|0.825|40.0|1.0|01-07-2022|LaSerena|
Grupo LATAM|383|0.867|46.0|0.99|01-07-2022|LaSerena|
JetSmart Spa|383|0.747|43.0|0.987|01-07-2022|LaSerena|
Grupo LATAM|382|0.8640000000000001|49.0|0.995|01-10-2022|LaSerena|
Sky Airline|361|0.8390000000000001|46.0|1.0|01-10-2022|LaSerena|
JetSmart Spa|418|0.7509999999999999|66.0|0.9840000000000001|01-10-2022|LaSerena|
Sky Airline|384|0.9059999999999999|33.0|1.0|01-01-2023|LaSerena|
Grupo LATAM|415|0.875|40.0|1.0|01-01-2023|LaSerena|
JetSmart Spa|469|0.733|69.0|0.9890000000000001|01-01-2023|LaSerena|
Grupo LATAM|136|0.8240000000000001|100.0|1.0|01-01-2020|IslaDePascua|
Grupo LATAM|4|0.25|42.0|1.0|01-07-2020|IslaDePascua|
Grupo LATAM|12|0.583|59.0|1.0|01-04-2022|IslaDePascua|
Grupo LATAM|24|0.45799999999999996|46.0|1.0|01-07-2022|IslaDePascua|
Grupo LATAM|39|0.667|25.0|1.0|01-10-2022|IslaDePascua|
Grupo LATAM|59|0.915|60.0|1.0|01-01-2023|IslaDePascua|
Emirates|30|1.0|0.0|1.0|01-01-2020|Santiago|
Copa Air|337|0.976|34.0|1.0|01-01-2020|Santiago|
Alitalia|49|0.9590000000000001|21.0|1.0|01-01-2020|Santiago|
K.L.M.|68|0.956|57.0|1.0|01-01-2020|Santiago|
Iberia-Level|134|0.9329999999999999|31.0|0.993|01-01-2020|Santiago|
Air France|97|0.9279999999999999|28.0|1.0|01-01-2020|Santiago|
Gol Trans|153|0.922|94.0|1.0|01-01-2020|Santiago|
Sky Airline|3500|0.922|52.0|0.9990000000000001|01-01-2020|Santiago|
Grupo LATAM|9411|0.917|49.0|0.997|01-01-2020|Santiago|
Aeromexico|68|0.912|84.0|1.0|01-01-2020|Santiago|
Delta Air|68|0.912|47.0|1.0|01-01-2020|Santiago|
United Airlines|68|0.912|34.0|0.971|01-01-2020|Santiago|
American Airlines|141|0.9079999999999999|231.0|0.993|01-01-2020|Santiago|
British Airways|48|0.875|118.0|1.0|01-01-2020|Santiago|
JetSmart|1827|0.848|70.0|0.997|01-01-2020|Santiago|
Aero. Argentinas-Austral|235|0.8340000000000001|54.0|0.9590000000000001|01-01-2020|Santiago|
Estelar Latinoamerica|18|0.833|113.0|1.0|01-01-2020|Santiago|
Grupo Avianca|269|0.762|65.0|0.9890000000000001|01-01-2020|Santiago|
Air Canada|118|0.49200000000000005|66.0|1.0|01-01-2020|Santiago|
Qantas Airways|48|0.45799999999999996|120.0|0.98|01-01-2020|Santiago|
Air France|65|0.831|23.0|1.0|01-04-2022|Santiago|
Copa Air|481|0.917|55.0|0.998|01-04-2022|Santiago|
Sky Airline|2666|0.922|41.0|0.997|01-04-2022|Santiago|
Grupo LATAM|6957|0.917|51.0|0.995|01-04-2022|Santiago|
Aerolineas Argentinas-Austral|240|0.8420000000000001|40.0|0.996|01-04-2022|Santiago|
Grupo Avianca|272|0.875|55.0|0.993|01-04-2022|Santiago|
Iberia-Level|91|0.8240000000000001|22.0|1.0|01-04-2022|Santiago|
JetSmart|1482|0.8370000000000001|55.0|0.9940000000000001|01-04-2022|Santiago|
Aeromexico|91|0.9890000000000001|33.0|1.0|01-04-2022|Santiago|
American Airlines|165|0.915|115.0|1.0|01-04-2022|Santiago|
K.L.M.|81|0.741|45.0|0.976|01-04-2022|Santiago|
United Airlines|91|0.9229999999999999|61.0|1.0|01-04-2022|Santiago|
Delta Air|87|0.862|82.0|1.0|01-04-2022|Santiago|
Conviasa|6|0.33299999999999996|171.0|1.0|01-04-2022|Santiago|
Air Canada|39|0.9229999999999999|21.0|1.0|01-04-2022|Santiago|
British Airways|39|0.821|43.0|1.0|01-04-2022|Santiago|
Star Up Sa|5|0.2|78.0|1.0|01-04-2022|Santiago|
Gol Trans|6|0.667|30.0|1.0|01-04-2022|Santiago|
Air France|69|0.899|62.0|1.0|01-07-2022|Santiago|
Copa Air|527|0.9259999999999999|39.0|0.996|01-07-2022|Santiago|
Sky Airline|3081|0.895|40.0|0.9990000000000001|01-07-2022|Santiago|
Grupo LATAM|8107|0.907|44.0|0.993|01-07-2022|Santiago|
Aerolineas Argentinas-Austral|248|0.847|37.0|1.0|01-07-2022|Santiago|
Grupo Avianca|267|0.9059999999999999|140.0|1.0|01-07-2022|Santiago|
Iberia-Level|92|0.8909999999999999|74.0|0.9890000000000001|01-07-2022|Santiago|
JetSmart|1386|0.8170000000000001|57.0|0.996|01-07-2022|Santiago|
Aeromexico|83|0.988|129.0|1.0|01-07-2022|Santiago|
American Airlines|131|0.9079999999999999|241.0|0.992|01-07-2022|Santiago|
K.L.M.|92|0.7929999999999999|86.0|1.0|01-07-2022|Santiago|
United Airlines|91|0.9229999999999999|194.0|0.9890000000000001|01-07-2022|Santiago|
Delta Air|40|0.85|132.0|1.0|01-07-2022|Santiago|
Air Canada|39|0.9490000000000001|145.0|1.0|01-07-2022|Santiago|
British Airways|40|0.75|71.0|1.0|01-07-2022|Santiago|
Star Up Sa|1|0.0|259.0|1.0|01-07-2022|Santiago|
United Airlines|92|0.946|206.0|0.9790000000000001|01-10-2022|Santiago|
Air France|89|0.9209999999999999|396.0|1.0|01-10-2022|Santiago|
Avianca|271|0.9079999999999999|83.0|0.996|01-10-2022|Santiago|
Sky Airline|3516|0.9079999999999999|37.0|0.996|01-10-2022|Santiago|
Aerolineas Argentinas-Austral|248|0.903|50.0|0.996|01-10-2022|Santiago|
Aeromexico|66|0.894|101.0|1.0|01-10-2022|Santiago|
LATAM|8782|0.883|42.0|0.9940000000000001|01-10-2022|Santiago|
Copa Air|504|0.8809999999999999|31.0|1.0|01-10-2022|Santiago|
American Airlines|192|0.87|104.0|0.995|01-10-2022|Santiago|
Air Canada|49|0.8370000000000001|53.0|1.0|01-10-2022|Santiago|
K.L.M.|91|0.835|58.0|0.9890000000000001|01-10-2022|Santiago|
Delta Air|75|0.8|42.0|0.987|01-10-2022|Santiago|
JetSmart|1441|0.7090000000000001|65.0|0.986|01-10-2022|Santiago|
British Airways|39|0.667|24.0|1.0|01-10-2022|Santiago|
Iberia-Level|122|0.648|57.0|0.9840000000000001|01-10-2022|Santiago|
Qantas Airways|36|0.389|67.0|0.973|01-10-2022|Santiago|
Copa Air|486|0.965|35.0|1.0|01-01-2023|Santiago|
United Airlines|90|0.956|47.0|0.9890000000000001|01-01-2023|Santiago|
Grupo Avianca|312|0.9390000000000001|56.0|1.0|01-01-2023|Santiago|
Delta Air|90|0.922|75.0|0.978|01-01-2023|Santiago|
American Airlines|177|0.9209999999999999|299.0|1.0|01-01-2023|Santiago|
Sky Airline|4069|0.92|42.0|0.997|01-01-2023|Santiago|
Grupo LATAM|9539|0.915|45.0|0.996|01-01-2023|Santiago|
K.L.M.|90|0.9|54.0|1.0|01-01-2023|Santiago|
Aeromexico|76|0.895|278.0|1.0|01-01-2023|Santiago|
Aerolineas Argentinas-Austral|242|0.884|38.0|0.996|01-01-2023|Santiago|
Air France|90|0.878|31.0|1.0|01-01-2023|Santiago|
Air Canada|51|0.863|85.0|1.0|01-01-2023|Santiago|
Iberia-Level|131|0.794|44.0|1.0|01-01-2023|Santiago|
JetSmart|1811|0.7759999999999999|101.0|0.982|01-01-2023|Santiago|
British Airways|40|0.65|33.0|1.0|01-01-2023|Santiago|
Qantas Airways|46|0.63|67.0|1.0|01-01-2023|Santiago|
Sky Airline|201|0.915|80.0|0.995|01-01-2020|Concepcion|
Grupo LATAM|643|0.9|39.0|0.997|01-01-2020|Concepcion|
JetSmart Spa|390|0.867|54.0|1.0|01-01-2020|Concepcion|
Sky Airline|100|0.72|46.0|1.0|01-07-2020|Concepcion|
Grupo LATAM|116|0.845|58.0|1.0|01-07-2020|Concepcion|
JetSmart Spa|176|0.858|42.0|0.983|01-07-2020|Concepcion|
Sky Airline|171|0.754|33.0|0.972|01-04-2022|Concepcion|
Grupo LATAM|753|0.792|53.0|0.968|01-04-2022|Concepcion|
JetSmart Spa|403|0.757|83.0|0.976|01-04-2022|Concepcion|
Sky Airline|207|0.763|39.0|1.0|01-07-2022|Concepcion|
Grupo LATAM|826|0.818|38.0|0.992|01-07-2022|Concepcion|
JetSmart Spa|401|0.833|42.0|0.993|01-07-2022|Concepcion|
JetSmart Spa|418|0.797|60.0|0.995|01-10-2022|Concepcion|
Grupo LATAM|888|0.784|41.0|0.997|01-10-2022|Concepcion|
Sky Airline|258|0.7709999999999999|50.0|0.996|01-10-2022|Concepcion|
Sky Airline|264|0.833|51.0|0.9890000000000001|01-01-2023|Concepcion|
JetSmart Spa|446|0.7829999999999999|85.0|0.998|01-01-2023|Concepcion|
Grupo LATAM|785|0.746|33.0|0.996|01-01-2023|Concepcion|
Sky Airline|240|0.871|42.0|1.0|01-01-2020|Temuco|
Grupo LATAM|467|0.85|43.0|1.0|01-01-2020|Temuco|
JetSmart Spa|197|0.8170000000000001|56.0|1.0|01-01-2020|Temuco|
Grupo LATAM|19|1.0|0.0|0.826|01-04-2020|Temuco|
JetSmart Spa|42|0.9520000000000001|20.0|0.875|01-04-2020|Temuco|
Sky Airline|26|0.731|55.0|1.0|01-07-2020|Temuco|
Grupo LATAM|40|0.9|43.0|1.0|01-07-2020|Temuco|
JetSmart Spa|74|1.0|0.0|1.0|01-07-2020|Temuco|
Sky Airline|132|0.856|37.0|1.0|01-04-2022|Temuco|
Grupo LATAM|335|0.845|39.0|0.9940000000000001|01-04-2022|Temuco|
JetSmart Spa|152|0.77|49.0|0.993|01-04-2022|Temuco|
Sky Airline|181|0.8009999999999999|36.0|1.0|01-07-2022|Temuco|
Grupo LATAM|391|0.8079999999999999|40.0|0.992|01-07-2022|Temuco|
JetSmart Spa|136|0.721|62.0|1.0|01-07-2022|Temuco|
Sky Airline|198|0.8690000000000001|36.0|0.98|01-10-2022|Temuco|
Grupo LATAM|420|0.748|35.0|0.988|01-10-2022|Temuco|
JetSmart Spa|162|0.654|49.0|0.982|01-10-2022|Temuco|
Sky Airline|209|0.828|31.0|0.995|01-01-2023|Temuco|
Grupo LATAM|470|0.762|34.0|0.992|01-01-2023|Temuco|
JetSmart Spa|212|0.665|76.0|0.991|01-01-2023|Temuco|
Sky Airline|151|0.894|56.0|1.0|01-01-2020|Valdivia|
JetSmart Spa|65|0.831|75.0|1.0|01-01-2020|Valdivia|
Grupo LATAM|150|0.813|31.0|1.0|01-01-2020|Valdivia|
Sky Airline|8|0.875|26.0|1.0|01-07-2020|Valdivia|
JetSmart Spa|7|1.0|0.0|1.0|01-07-2020|Valdivia|
Sky Airline|104|0.856|45.0|0.981|01-04-2022|Valdivia|
Grupo LATAM|110|0.636|50.0|0.973|01-04-2022|Valdivia|
JetSmart Spa|47|0.617|59.0|1.0|01-04-2022|Valdivia|
Sky Airline|111|0.883|67.0|1.0|01-07-2022|Valdivia|
Grupo LATAM|156|0.718|39.0|0.987|01-07-2022|Valdivia|
JetSmart Spa|32|0.75|45.0|1.0|01-07-2022|Valdivia|
Sky Airline|136|0.875|39.0|1.0|01-10-2022|Valdivia|
JetSmart Spa|14|0.7859999999999999|192.0|1.0|01-10-2022|Valdivia|
Grupo LATAM|158|0.715|48.0|0.9940000000000001|01-10-2022|Valdivia|
Sky Airline|190|0.905|33.0|0.995|01-01-2023|Valdivia|
Grupo LATAM|181|0.674|40.0|0.995|01-01-2023|Valdivia|
JetSmart Spa|60|0.617|67.0|0.938|01-01-2023|Valdivia|
Sky Airline|109|0.9079999999999999|68.0|1.0|01-01-2020|Osorno|
Grupo LATAM|64|0.7340000000000001|43.0|1.0|01-01-2020|Osorno|
Sky Airline|114|0.825|64.0|0.983|01-04-2022|Osorno|
Grupo LATAM|56|0.804|31.0|0.982|01-04-2022|Osorno|
Sky Airline|121|0.7440000000000001|80.0|0.976|01-07-2022|Osorno|
Grupo LATAM|55|0.909|28.0|0.965|01-07-2022|Osorno|
Sky Airline|142|0.8029999999999999|29.0|1.0|01-10-2022|Osorno|
Grupo LATAM|65|0.754|38.0|0.985|01-10-2022|Osorno|
Grupo LATAM|77|0.779|26.0|1.0|01-01-2023|Osorno|
Sky Airline|179|0.7709999999999999|36.0|0.9890000000000001|01-01-2023|Osorno|
Sky Airline|501|0.88|63.0|1.0|01-01-2020|PuertoMontt|
Grupo LATAM|1031|0.812|36.0|0.9940000000000001|01-01-2020|PuertoMontt|
JetSmart Spa|230|0.748|73.0|1.0|01-01-2020|PuertoMontt|
Sky Airline|172|0.802|56.0|1.0|01-07-2020|PuertoMontt|
Grupo LATAM|206|0.83|54.0|0.981|01-07-2020|PuertoMontt|
JetSmart Spa|41|0.976|44.0|1.0|01-07-2020|PuertoMontt|
Sky Airline|385|0.8390000000000001|35.0|1.0|01-04-2022|PuertoMontt|
Grupo LATAM|738|0.833|49.0|0.997|01-04-2022|PuertoMontt|
JetSmart Spa|221|0.6559999999999999|75.0|0.995|01-04-2022|PuertoMontt|
Sky Airline|452|0.8079999999999999|36.0|0.9890000000000001|01-07-2022|PuertoMontt|
Grupo LATAM|843|0.8220000000000001|50.0|0.991|01-07-2022|PuertoMontt|
JetSmart Spa|203|0.685|53.0|0.99|01-07-2022|PuertoMontt|
Grupo LATAM|798|0.8420000000000001|39.0|0.993|01-10-2022|PuertoMontt|
Sky Airline|619|0.8340000000000001|35.0|0.997|01-10-2022|PuertoMontt|
JetSmart Spa|210|0.61|53.0|0.981|01-10-2022|PuertoMontt|
Sky Airline|688|0.865|81.0|0.993|01-01-2023|PuertoMontt|
Grupo LATAM|932|0.857|59.0|0.997|01-01-2023|PuertoMontt|
JetSmart Spa|339|0.6759999999999999|80.0|0.98|01-01-2023|PuertoMontt|
JetSmart Spa|91|0.879|92.0|1.0|01-01-2020|Balmaceda|
Sky Airline|211|0.877|70.0|1.0|01-01-2020|Balmaceda|
Grupo LATAM|347|0.813|36.0|0.9940000000000001|01-01-2020|Balmaceda|
Sky Airline|10|0.8|96.0|1.0|01-04-2020|Balmaceda|
Grupo LATAM|45|0.622|61.0|1.0|01-04-2020|Balmaceda|
Sky Airline|39|0.718|87.0|0.975|01-07-2020|Balmaceda|
Grupo LATAM|61|0.82|54.0|0.953|01-07-2020|Balmaceda|
JetSmart Spa|5|1.0|0.0|1.0|01-07-2020|Balmaceda|
Sky Airline|119|0.857|25.0|1.0|01-04-2022|Balmaceda|
Grupo LATAM|202|0.777|63.0|0.995|01-04-2022|Balmaceda|
JetSmart Spa|52|0.635|59.0|1.0|01-04-2022|Balmaceda|
Sky Airline|165|0.848|52.0|0.965|01-07-2022|Balmaceda|
Grupo LATAM|251|0.845|65.0|0.977|01-07-2022|Balmaceda|
JetSmart Spa|56|0.732|63.0|1.0|01-07-2022|Balmaceda|
Grupo LATAM|262|0.905|60.0|0.996|01-10-2022|Balmaceda|
Sky Airline|184|0.848|32.0|0.995|01-10-2022|Balmaceda|
JetSmart Spa|76|0.763|62.0|0.987|01-10-2022|Balmaceda|
Grupo LATAM|290|0.89|52.0|0.997|01-01-2023|Balmaceda|
Sky Airline|172|0.7909999999999999|51.0|0.9940000000000001|01-01-2023|Balmaceda|
JetSmart Spa|74|0.568|67.0|1.0|01-01-2023|Balmaceda|
Sky Airline|26|0.885|26.0|1.0|01-01-2020|PuertoNatales|
Grupo LATAM|65|0.769|65.0|1.0|01-01-2020|PuertoNatales|
JetSmart Spa|36|0.583|36.0|1.0|01-01-2020|PuertoNatales|
Sky Airline|26|0.5770000000000001|26.0|1.0|01-04-2022|PuertoNatales|
JetSmart Spa|9|0.667|9.0|1.0|01-04-2022|PuertoNatales|
Sky Airline|21|0.762|20.0|1.0|01-07-2022|PuertoNatales|
Sky Airline|108|0.852|109.0|0.991|01-10-2022|PuertoNatales|
Grupo LATAM|46|0.63|46.0|1.0|01-10-2022|PuertoNatales|
JetSmart Spa|9|0.222|9.0|1.0|01-10-2022|PuertoNatales|
Sky Airline|134|0.9179999999999999|135.0|0.993|01-01-2023|PuertoNatales|
Grupo LATAM|77|0.7140000000000001|77.0|1.0|01-01-2023|PuertoNatales|
JetSmart Spa|34|0.6759999999999999|34.0|1.0|01-01-2023|PuertoNatales|
Grupo LATAM|49|0.878|28.0|1.0|01-01-2020|Castro|
Grupo LATAM|82|0.841|36.0|0.988|01-04-2022|Castro|
JetSmart Spa|40|0.825|105.0|0.9520000000000001|01-04-2022|Castro|
Grupo LATAM|92|0.848|59.0|1.0|01-07-2022|Castro|
JetSmart Spa|28|0.5710000000000001|90.0|1.0|01-07-2022|Castro|
Grupo LATAM|91|0.857|63.0|0.9890000000000001|01-10-2022|Castro|
JetSmart Spa|27|0.741|22.0|1.0|01-10-2022|Castro|
Sky Airline|38|0.9470000000000001|51.0|1.0|01-01-2023|Castro|
Grupo LATAM|80|0.875|29.0|0.9640000000000001|01-01-2023|Castro|
JetSmart Spa|39|0.6409999999999999|76.0|1.0|01-01-2023|Castro|
Sky Airline|221|0.8909999999999999|35.0|1.0|01-01-2020|PuntaArenas|
Grupo LATAM|713|0.8320000000000001|44.0|0.992|01-01-2020|PuntaArenas|
JetSmart Spa|175|0.7490000000000001|56.0|1.0|01-01-2020|PuntaArenas|
Sky Airline|65|0.8|63.0|1.0|01-07-2020|PuntaArenas|
Grupo LATAM|67|0.627|66.0|0.9570000000000001|01-07-2020|PuntaArenas|
JetSmart Spa|7|0.857|50.0|1.0|01-07-2020|PuntaArenas|
Sky Airline|105|0.8759999999999999|65.0|1.0|01-04-2022|PuntaArenas|
Grupo LATAM|369|0.878|64.0|0.9890000000000001|01-04-2022|PuntaArenas|
JetSmart Spa|74|0.45899999999999996|92.0|0.9740000000000001|01-04-2022|PuntaArenas|
Sky Airline|121|0.818|32.0|0.992|01-07-2022|PuntaArenas|
Grupo LATAM|354|0.7879999999999999|48.0|0.981|01-07-2022|PuntaArenas|
JetSmart Spa|51|0.059000000000000004|82.0|0.981|01-07-2022|PuntaArenas|
Sky Airline|165|0.7759999999999999|31.0|0.988|01-10-2022|PuntaArenas|
Grupo LATAM|437|0.7390000000000001|48.0|0.991|01-10-2022|PuntaArenas|
JetSmart Spa|17|0.353|50.0|0.9440000000000001|01-10-2022|PuntaArenas|
Sky Airline|127|0.8740000000000001|92.0|0.9840000000000001|01-01-2023|PuntaArenas|
Grupo LATAM|609|0.752|53.0|0.997|01-01-2023|PuntaArenas|
JetSmart Spa|105|0.6|50.0|1.0|01-01-2023|PuntaArenas|
